OO,5242,BOI,LAX,39,674,30
OO,5462,SPI,ORD,4,174,5
OO,5466,CLD,LAX,54,86,88
OO,5550,COD,DEN,-1,391,-1
OO,5574,FAT,SFO,0,158,7
MQ,3221,CMH,MIA,-5,990,-11
OO,5522,PSC,DEN,1,852,4
OO,5592,CPR,DEN,4,230,9
OO,5604,ACV,SFO,-10,250,10
OO,5170,DAL,IAH,22,216,12
OO,5429,PAH,ORD,-9,342,-23
OO,5435,PSC,SFO,-4,620,-1
OO,6378,CID,ORD,10,196,-1
OO,6401,EUG,SFO,-3,451,-7
OO,6332,DFW,DEN,-4,641,9
OO,6346,MRY,SFO,-5,77,-12
OO,6465,SLC,LAX,4,590,-6
OO,7392,ESC,DTW,-2,306,-21
OO,6403,MFR,SFO,-3,329,-6
OO,6497,FAT,DEN,-1,844,33
UA,576,SFO,EWR,-9,2565,-23
UA,1410,LAS,IAH,0,1222,-7
UA,1689,EWR,SFO,1,2565,-20
EV,6020,ISN,DEN,-2,576,-9
HA,113,HNL,LIH,-4,102,-2
OO,5629,PSP,SFO,31,421,17
OO,6420,PSP,DEN,131,776,144
UA,223,SAT,IAH,8,191,0
UA,996,LAX,EWR,0,2454,-32
UA,1721,LAX,SFO,-2,337,-14
EV,4390,CLE,IAD,-5,288,-1
EV,5732,CAE,IAD,2,401,7
F9,756,PHX,DEN,0,602,4
UA,234,SMF,IAH,8,1609,19
UA,415,JFK,SFO,0,2586,-4
US,647,BOS,PHX,9,2300,13
US,829,BOS,CLT,-4,728,-3
US,1743,DTW,MIA,-4,1145,-26
UA,1023,FLL,EWR,-5,1065,-10
WN,2505,GEG,DEN,-1,836,-9
WN,239,SAT,STL,-6,786,-22
WN,474,ONT,DEN,4,819,0
UA,1245,CLE,EWR,-3,404,-21
US,560,DFW,PHX,7,868,8
AA,375,STL,DFW,-8,550,-17
AA,378,SJU,MIA,-8,1045,11
AA,1291,MKE,DFW,0,853,-11
AS,320,SEA,SFO,-3,679,-3
AS,602,SEA,LAS,-3,867,0
B6,233,BTV,JFK,-12,266,-16
B6,601,JFK,FLL,-2,1069,-2
B6,735,SFO,LGB,-8,354,-14
B6,922,PBI,BOS,16,1197,28
B6,1184,MCO,JFK,-5,944,10
B6,1434,SJU,MCO,93,1189,88
DL,1065,BDL,ATL,-4,859,-26
DL,1456,RDU,ATL,56,356,39
DL,1723,SFO,SLC,-1,599,-2
EV,4642,TUS,IAH,8,936,19
EV,4928,PIA,ATL,-5,565,-24
F9,609,IND,DEN,-9,977,-19
F9,821,MCI,DEN,2,533,6
F9,133,DFW,DEN,57,641,52
HA,286,HNL,OGG,-5,100,-1
OO,5181,OKC,LAX,-3,1187,9
OO,6499,FAR,DEN,5,627,-3
UA,1160,SFO,IAH,-5,1635,-2
UA,1601,EWR,FLL,-8,1065,-37
OO,6461,MTJ,DEN,-7,196,2
NK,606,RSW,DTW,-6,1084,7
OO,7389,GCC,RKS,-5,261,-9
UA,220,MSY,EWR,-2,1167,-14
UA,654,ORD,MCO,-5,1005,-21
EV,6119,RIC,ORD,0,642,4
OO,5456,RDM,SFO,-9,462,-23
HA,205,OGG,HNL,-8,100,-4
OO,4494,SJC,SLC,-10,584,12
OO,5370,ORD,MBS,-3,222,-13
US,1709,EWR,CLT,6,529,15
WN,828,PHX,BWI,0,1999,-24
UA,1632,SEA,IAD,-5,2306,-29
UA,1725,LAS,SFO,-4,414,-20
AA,168,DFW,MIA,-7,1121,-18
AA,1336,PHX,DFW,-7,868,-6
AA,1619,BOS,MIA,-5,1258,-17
AA,1686,LAX,STL,-1,1592,-11
AS,345,OAK,SEA,-2,671,-8
AS,454,SEA,LAX,1,954,-4
B6,57,BOS,IAD,-7,413,-24
B6,24,LAX,JFK,10,2475,-11
B6,1279,DCA,FLL,-7,899,-14
B6,1836,DTW,BOS,-7,632,-35
AA,1361,BNA,LAX,-3,1797,-8
DL,327,PHL,ATL,-2,666,-31
DL,1492,PHX,MSP,106,1276,93
B6,1554,SJU,FLL,15,1046,19
EV,4556,VPS,IAH,-3,528,-3
EV,6071,GUC,DEN,7,152,12
F9,1252,MIA,LGA,38,1096,40
MQ,3323,RIC,MIA,-1,825,-15
MQ,3601,DTW,LGA,-7,502,-25
MQ,3551,ORF,MIA,-5,802,-4
OO,5572,MOT,DEN,-10,604,-29
AA,1312,STL,MIA,-8,1068,-28
B6,269,BOS,FLL,-4,1237,-20
EV,4506,MLU,IAH,29,262,28
NK,562,LAX,LAS,-5,236,-9
UA,416,PDX,ORD,-2,1739,-13
B6,1403,JFK,SJU,-2,1598,-23
HA,107,KOA,HNL,6,163,11
OO,4681,EUG,SLC,-7,618,-10
US,1754,RNO,PHX,-10,601,-5
US,1789,PHX,CLT,14,1773,-7
WN,1966,CMH,ATL,136,447,116
WN,2351,HOU,ATL,-3,696,-7
